index,brand,Model,gpu_type,Vram,processor_brand,processor_tier,ram_memory,primary_storage_type,primary_storage_capacity,is_touch_screen,display_size,resolution_width,resolution_height,OS,Price
1,tecno,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,23990
2,tecno,Tecno Megabook T1 Laptop (11th Gen Core i7/ 16GB/ 1TB TRUE/ Win11 Home),integrated,0,intel,core i7,16,TRUE,1024,FALSE,15.6,1920,1080,windows,35990
3,hp,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,amd,ryzen 5,8,TRUE,512,FALSE,15.6,1920,1080,windows,51100
4,acer,Acer Extensa EX214-53 Laptop (12th Gen Core i5/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i5,8,TRUE,512,FALSE,14,1920,1080,windows,39990
5,lenovo,Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,amd,ryzen 3,8,TRUE,512,FALSE,15.6,1920,1080,windows,28580
6,apple,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB TRUE/ MacOS),apple,0,apple,m1,8,TRUE,256,FALSE,13.3,2560,1600,mac,70990
7,infinix,Infinix INBook Y2 Plus Laptop (11th Gen Core i5/ 16GB/ 512GB TRUE/ Win 11 Home),integrated,0,intel,core i5,16,TRUE,512,FALSE,15.6,1920,1080,windows,34990
8,asus,Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB TRUE/ Win11/ 4GB Graph),dedicated,4,intel,core i5,8,TRUE,512,FALSE,15.6,1920,1080,windows,49990
9,hp,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB TRUE/ Win11 Home),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,36990
10,infinix,Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB TRUE/ Win 11 Home),integrated,0,intel,core i9,32,TRUE,1024,FALSE,15.6,1920,1080,windows,59990
11,dell,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB TRUE/ Win11),integrated,0,intel,core i3,8,TRUE,512,FALSE,15.6,1920,1080,windows,34990
